Wall time,Step,Value
1516978024.1696868,14294,0.9453125
1516978060.9267263,14338,0.94921875
1516978151.8689206,14447,0.95703125
1516978311.1199067,14638,0.94921875
1516978336.1651702,14668,0.9609375
1516978429.2858722,14779,0.94921875
1516978508.6367369,14873,0.94140625
1516979011.1995356,15473,0.94921875
1516979039.5183594,15507,0.97265625
1516979255.1170614,15764,0.93359375
1516979549.6230094,16116,0.95703125
1516979720.479751,16321,0.95703125
1516980126.2681553,16809,0.91796875
1516980165.766793,16857,0.9453125
1516980340.2998898,17066,0.953125
1516980366.1567705,17097,0.96484375
1516980549.1612623,17317,0.93359375
1516980567.815376,17339,0.94921875
1516980737.5604396,17543,0.94140625
1516980749.444806,17557,0.95703125
1516981494.190095,18451,0.96875
1516982050.0817451,19116,0.953125
1516982094.0642798,19169,0.94921875
1516982395.6890182,19531,0.9609375
1516982486.1422582,19640,0.97265625
1516982498.0437171,19654,0.93359375
1516982562.31304,19731,0.95703125
1516982782.388136,19995,0.95703125
1516985770.3615534,20053,0.96875
1516985777.746387,20062,0.9609375
1516985841.2449346,20138,0.953125
1516985929.4533458,20244,0.953125
1516985935.9369032,20252,0.93359375
1516985995.2317262,20323,0.9375
1516986092.3467252,20440,0.953125
1516986175.5440845,20539,0.953125
1516986208.0585876,20578,0.9375
1516986375.7361138,20779,0.9609375
1516986378.0746324,20782,0.953125
1516986439.085075,20855,0.96484375
1516986627.22312,21080,0.94921875
1516986680.0495844,21144,0.953125
1516986753.5688567,21232,0.96875
1516986825.9416444,21319,0.9375
1516986997.1235735,21523,0.9296875
1516987268.9945967,21848,0.97265625
1516987600.540037,22245,0.93359375
1516987671.328379,22330,0.9453125
1516987694.7681468,22358,0.94140625
1516987790.3978622,22472,0.9453125
1516988349.819091,23138,0.94140625
1516988358.2639565,23148,0.95703125
1516988394.94219,23192,0.953125
1516988416.9598613,23218,0.9609375
1516988474.3741663,23286,0.9765625
1516988537.7211258,23361,0.97265625
1516988593.263491,23427,0.96484375
1516988687.8168042,23540,0.97265625
1516988796.5323932,23670,0.953125
1516988805.508962,23681,0.9609375
1516988822.546305,23701,0.953125
1516989021.7367237,23938,0.96484375
1516989197.9609382,24147,0.96484375
1516989310.5033615,24282,0.94921875
1516989312.422557,24284,0.96484375
1516989343.767467,24322,0.97265625
1516989595.0737886,24621,0.9453125
1516989677.6050856,24719,0.953125
1516989683.9858007,24727,0.94921875
1516989830.927155,24901,0.96484375
1516989858.5231516,24934,0.9453125
1516990126.5319703,25253,0.98046875
1516990192.556983,25332,0.96875
1516990242.1036189,25391,0.9765625
1516990595.8212166,25812,0.95703125
1516990625.3764997,25847,0.9609375
1516990687.697669,25921,0.96484375
1516991008.1693287,26303,0.9765625
1516991422.177822,26797,0.9765625
1516991423.0970924,26798,0.9609375
1516991449.002286,26829,0.9765625
1516991711.4917107,27142,0.9453125
1516991721.2823977,27154,0.9609375
1516991725.688132,27159,0.95703125
1516991821.9090247,27274,0.94140625
1516992015.266444,27505,0.9453125
1516992096.2983155,27603,0.96484375
1516992125.9185662,27638,0.97265625
