Wall time,Step,Value
1517028313.273603,0,0.03333333507180214
1517038630.4586108,10000,0.03333333507180214
1517049231.760992,20000,0.03999999910593033
1517060001.9961495,30000,0.019999999552965164
1517070515.38462,40000,0.013333333656191826
1517081370.7487178,50000,0.05999999865889549
1517092453.1782806,60000,0.0533333346247673
1517103400.3662145,70000,0.0533333346247673
1517114107.9892454,80000,0.03333333507180214
1517124906.5875912,90000,0.03333333507180214
1517135964.5374727,100000,0.03999999910593033
1517146597.7115247,110000,0.03333333507180214
1517157205.7119198,120000,0.019999999552965164
1517168087.468988,130000,0.006666666828095913
1517178826.1272311,140000,0.0533333346247673
1517189301.554103,150000,0.03333333507180214
