Wall time,Step,Value
1517072604.4332383,42468,0.9375
1517072781.8110087,42678,0.93359375
1517073490.973815,43518,0.91796875
1517073566.5329144,43607,0.90234375
1517073593.4739795,43639,0.94140625
1517073654.378172,43711,0.94921875
1517073677.1043847,43738,0.9296875
1517073680.6902373,43742,0.90625
1517073734.119525,43805,0.94921875
1517073892.5096478,43993,0.9375
1517073960.2081656,44073,0.9296875
1517074067.2653186,44200,0.9453125
1517074073.1420789,44207,0.9453125
1517074110.0374928,44251,0.94921875
1517074154.8676727,44304,0.9140625
1517074587.865037,44816,0.9296875
1517074713.1626773,44964,0.94140625
1517075006.2099504,45310,0.9609375
1517075014.0285375,45319,0.93359375
1517075059.1725721,45372,0.93359375
1517075173.62068,45507,0.91796875
1517075301.506202,45658,0.92578125
1517075859.3938177,46318,0.94140625
1517075872.9042628,46334,0.95703125
1517075939.7637146,46413,0.94921875
1517076011.791292,46499,0.9453125
1517076691.3427997,47301,0.9375
1517076931.047946,47585,0.9453125
1517076975.8794909,47638,0.90625
1517077001.9756076,47669,0.93359375
1517077032.9483876,47705,0.93359375
1517077065.8752208,47744,0.9453125
1517077182.8209224,47882,0.9609375
1517077237.6818168,47947,0.92578125
1517077257.4420588,47970,0.9453125
1517077347.73259,48076,0.9609375
1517077436.2102535,48181,0.9296875
1517077474.6581266,48227,0.95703125
1517077724.3853276,48522,0.94921875
1517078359.50785,49272,0.94140625
1517078426.2973647,49351,0.94921875
1517078532.928684,49477,0.94921875
1517081376.8752162,50006,0.9609375
1517081418.817696,50056,0.93359375
1517081498.101403,50149,0.9296875
1517081511.763563,50165,0.9296875
1517081537.3728602,50195,0.953125
1517081599.16874,50268,0.9375
1517081904.7108185,50629,0.953125
1517082066.5161562,50819,0.94921875
1517082201.347083,50979,0.94140625
1517082330.5892477,51134,0.9140625
1517082408.5468311,51227,0.953125
1517082887.1991217,51798,0.94921875
1517083017.3322294,51954,0.9609375
1517083057.2454631,52001,0.953125
1517083304.1796534,52292,0.94921875
1517083356.1082006,52353,0.9453125
1517083490.3421826,52510,0.93359375
1517083636.922832,52682,0.95703125
1517083827.4521494,52906,0.9453125
1517083855.7948174,52939,0.96875
1517083985.456337,53092,0.91015625
1517083998.151921,53107,0.94140625
1517084300.7122805,53468,0.9375
1517084500.2333171,53706,0.9609375
1517084506.2968214,53713,0.91796875
