Wall time,Step,Value
1517059710.2121868,0,0.04413575306534767
1517062974.690014,2000,0.04370855167508125
1517066154.645227,4000,0.039252832531929016
1517069503.9206913,6000,0.0415038987994194
1517072778.9949148,8000,0.05216896906495094
1517076155.099563,10000,0.0548006147146225
1517079515.747633,12000,0.05423421040177345
1517082867.6237462,14000,0.07816416025161743
1517086279.142353,16000,0.027873018756508827
1517089545.8062499,18000,0.055964820086956024
1517092871.7228754,20000,0.04379837587475777
1517096144.54013,22000,0.0457470640540123
1517099441.2182527,24000,0.09677214920520782
1517102819.5037491,26000,0.039268046617507935
1517106122.0959914,28000,0.06028850004076958
1517109498.29109,30000,0.04742112010717392
1517112872.055116,32000,0.055839527398347855
1517116201.19539,34000,0.05365980044007301
1517119533.8797266,36000,0.04473220556974411
1517122868.401609,38000,0.03937329724431038
1517126202.3715324,40000,0.0454597994685173
1517129467.4575217,42000,0.052618008106946945
1517132797.8659298,44000,0.03481478616595268
1517136098.344044,46000,0.044916510581970215
1517139479.7641964,48000,0.050282642245292664
1517142762.4603045,50000,0.0451238676905632
1517146048.7277012,52000,0.039913929998874664
1517149343.8246398,54000,0.0516543947160244
1517152646.5881023,56000,0.07911068946123123
1517156006.9965825,58000,0.04021698236465454
1517159285.534065,60000,0.04669572785496712
1517162582.1709273,62000,0.040770743042230606
1517165879.2212667,64000,0.050794508308172226
1517169161.1662228,66000,0.049567125737667084
1517172482.13478,68000,0.06092029809951782
1517175836.575334,70000,0.05146575719118118
1517179183.60244,72000,0.0398717075586319
1517182612.7204297,74000,0.054591063410043716
1517185948.5270553,76000,0.06935753673315048
1517189354.571191,78000,0.0467575341463089
1517192699.4912221,80000,0.05051633343100548
1517195961.671804,82000,0.05656438320875168
1517199238.1248908,84000,0.06624943763017654
1517202530.5359778,86000,0.05067119002342224
1517205905.4701374,88000,0.045412223786115646
1517209224.8066428,90000,0.056131064891815186
1517212558.410608,92000,0.05336018279194832
1517215930.822224,94000,0.040795110166072845
1517219259.9085777,96000,0.04306240379810333
1517222459.3109972,98000,0.05369026958942413
1517225801.4868426,100000,0.055013809353113174
1517229038.0289838,102000,0.05729573220014572
