Wall time,Step,Value
1516962580.888481,0,0.02666666731238365
1516974434.0910623,10000,0.046666666865348816
1516985725.1578088,20000,0.05999999865889549
1516997568.8670397,30000,0.05999999865889549
1517009141.6341949,40000,0.03999999910593033
1517020457.7954931,50000,0.05999999865889549
1517032432.3162708,60000,0.046666666865348816
1517043977.4786284,70000,0.046666666865348816
1517055728.0147076,80000,0.05999999865889549
1517067345.5346107,90000,0.03333333507180214
1517079186.6878703,100000,0.046666666865348816
1517091105.66324,110000,0.03999999910593033
1517102858.827564,120000,0.046666666865348816
1517114311.9317975,130000,0.03999999910593033
1517125814.119052,140000,0.03999999910593033
